categoryId,categoryName,departmentId
043DB8B9-AF9A-41E0-B2F3-7F4C76677C48,Baking Goods,16EA885A-30D0-4128-AD31-0075C8E51C94
2CE9D772-A2EC-4F04-A33D-D1FD35C1A626,Jams and Jellies,16EA885A-30D0-4128-AD31-0075C8E51C94
A47D8A02-EEF0-49D7-8C2B-1A79797D48B5,Bread,00FEBE48-24FB-4630-8977-0ECF05D50FE5
6B8B185D-7C2E-4285-B491-E1C04A1844B8,Breakfast Foods,0ABA0F49-8909-4C3A-8F9F-22FE2ECA4A13
DBAADF3E-698E-45B4-B1EF-DED4EB4F4C3E,Starchy Foods,2213EC33-6AD4-4A72-B4BD-247609A619FD
B99D7960-B7E0-444C-AB7D-6EC9327963F4,Carbonated Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
EDAD95C5-E731-4EBC-8B5D-13D75DDF4DEE,Drinks,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
775CBF66-EDDA-44F1-ADDC-1070E337FBF3,Hot Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
35E84940-9539-4FA7-94CB-C164A60279D3,Pure Juice Beverages,82F0F31A-CD58-4AB4-BEB2-40E18F635D1B
FF466C09-367B-4639-AF4F-73BE3E411308,Fruit,4C9454BB-18E6-47BF-B0C6-40FA009C5F6D
98E7F914-434E-456C-BF1F-75666A05DD95,Hardware,FF93E5C8-CD46-4681-A879-422C35FADCE5
189C815A-A855-448B-B274-70C21AE99565,Miscellaneous,FF93E5C8-CD46-4681-A879-422C35FADCE5
3212F463-2CA7-42A5-ACFF-D6831DC4370C,Dairy,35959959-11F9-43F2-A623-5ABCE10ACF39
465C37D3-7E37-45BD-9F4E-E19602E65EEA,Eggs,E8191834-167F-4ABB-BDB8-5C6E7A551E90
2DCD56B7-A7B1-434D-88AA-730AFBB21398,Snack Foods,AF8A1BDF-9490-4ECF-92F2-62EB033B9DBD
A6232D4C-ABD1-49E3-A326-8FD5D8BA25AD,Canned Anchovies,24119708-C406-4690-9B7E-6762863F8E3A
49E0B501-0F1E-41D3-B8B8-2E061BE3BA77,Canned Clams,24119708-C406-4690-9B7E-6762863F8E3A
A1BB4632-96BC-4C1D-A408-AC59B458242B,Canned Oysters,24119708-C406-4690-9B7E-6762863F8E3A
58B17104-7FE9-4660-B9CC-CE7B58FF0987,Canned Sardines,24119708-C406-4690-9B7E-6762863F8E3A
68B4C018-2456-4E79-9B1B-FDA6E14A80C2,Canned Shrimp,24119708-C406-4690-9B7E-6762863F8E3A
317E707E-ED67-46E5-97C7-8A64E86EBDDF,Canned Soup,24119708-C406-4690-9B7E-6762863F8E3A
C8017396-296D-4418-9558-C7BAC4CC55E4,Canned Tuna,24119708-C406-4690-9B7E-6762863F8E3A
73B6A8D6-915D-47BF-A108-D6118699563B,Vegetables,24119708-C406-4690-9B7E-6762863F8E3A
99526699-2636-4658-948B-6668FBCD81C2,Meat,8C7F47BD-7C1A-4EE0-A86E-696553238965
24939B62-B5F4-4214-AD29-BDD6B723C5C2,Side Dishes,8C7F47BD-7C1A-4EE0-A86E-696553238965
C747EF58-017A-44A0-9678-7C0B27DBAE63,Fruit,39BC7DB2-733D-4C2C-8C1E-7ED9C5723C21
A33E226E-D9E2-4093-9017-2B11A7B1A8B8,Packaged Vegetables,39BC7DB2-733D-4C2C-8C1E-7ED9C5723C21
5B40B76D-E46A-483E-A4F6-E204864B5337,Specialty,39BC7DB2-733D-4C2C-8C1E-7ED9C5723C21
B100774C-4403-4F3C-9A5D-605A36E9A32B,Vegetables,39BC7DB2-733D-4C2C-8C1E-7ED9C5723C21
AF2B9762-12B1-4232-8B85-0ACE845B4215,Bathroom Products,CC87ABAE-E3A7-4579-B579-981810B3C4A9
69AD4850-782A-4C75-8C40-7A90984965D3,Candles,CC87ABAE-E3A7-4579-B579-981810B3C4A9
8A73FDD5-33FF-4915-8D62-AFE14C28D965,Cleaning Supplies,CC87ABAE-E3A7-4579-B579-981810B3C4A9
1F943A72-347B-4094-8AA0-03BDA8FB959D,Electrical,CC87ABAE-E3A7-4579-B579-981810B3C4A9
6E5A4D87-4D62-45BC-87D9-5B8535E36D4E,Hardware,CC87ABAE-E3A7-4579-B579-981810B3C4A9
E907EED5-FDC6-4EE8-A806-A99F04CDBB10,Kitchen Products,CC87ABAE-E3A7-4579-B579-981810B3C4A9
43C60B7E-3BC1-4CE1-8E3F-FAFE3DBC8C51,Paper Products,CC87ABAE-E3A7-4579-B579-981810B3C4A9
78B2B2B0-3190-4123-8CB0-CB08F2E30A89,Plastic Products,CC87ABAE-E3A7-4579-B579-981810B3C4A9
AB5F951F-A509-4830-B931-9243BD54932E,Dairy,04C678F9-C54D-4A3F-9B6A-9FA7E7A104D2
0806C11B-3920-421F-80CF-1EABD8A11B6B,Bathroom Products,F1F8D6CC-649A-410F-8FD4-A84F7413BF00
FC6059D1-3968-484E-AA21-6D532B176225,Cold Remedies,F1F8D6CC-649A-410F-8FD4-A84F7413BF00
4EA692CC-AE91-4555-A189-0B4E2FB621D0,Decongestants,F1F8D6CC-649A-410F-8FD4-A84F7413BF00
2D3F6705-80CE-473B-A9C3-6A96C36DC5D8,Hygiene,F1F8D6CC-649A-410F-8FD4-A84F7413BF00
BEFEDA59-DE87-49DF-BC76-52D038077AF5,Pain Relievers,F1F8D6CC-649A-410F-8FD4-A84F7413BF00
CD30BE9C-8D1D-486D-B6AD-4FCDB0D77EFB,Specialty,4A472B60-EDF7-4F0F-ABFD-A8F652CE71C0
D112552C-92A9-4D04-B3E1-8786A8765C00,Magazines,8C97934E-E9D1-4AA8-BA5C-B2F60FAF5034
FB3DB2E1-60DF-47E3-8D87-2EC780D43BC3,Meat,BBA8B05F-511D-495A-A8A6-D2B3CEBF49DE
A7258E33-1473-41B8-A415-8B3DBE5F7114,Beer and Wine,AE66DE40-7C56-49C0-AF97-D3213F4E1DAF
95AB6830-BC92-4D64-911D-D6655D1BA1B5,Seafood,83D3845E-834C-4BC9-867F-F815BCB24384
FB52E610-5E6E-4115-B9C3-544522E9D94E,Breakfast Foods,91A8812B-E816-4D48-9BFF-F98B63D37383
F6F748CB-3B45-4DE4-9A8D-7370520098AE,Frozen Desserts,91A8812B-E816-4D48-9BFF-F98B63D37383
ED2C1F8D-977C-448A-8769-6545DF0A54F1,Frozen Entrees,91A8812B-E816-4D48-9BFF-F98B63D37383
0CBE4799-BA32-4D6B-8A01-47C4911FF7BE,Meat,91A8812B-E816-4D48-9BFF-F98B63D37383
7F17D4A0-4F9D-4F1A-983B-2FF083BE664B,Pizza,91A8812B-E816-4D48-9BFF-F98B63D37383
FAFFF513-2FBB-415F-A98D-0D40EE757B39,Vegetables,91A8812B-E816-4D48-9BFF-F98B63D37383
045DAEC9-07F9-42F8-A772-C42B6FEE73CF,Candy,59E7F21E-39E1-452C-B9B6-FCB23CBA7EC6
